"playerID","gamesBatted","totalRBI","totalHR","battingAverage","gamesPitched","pitchingERA","strikeOuts","gamesFielded","totalPutOut","totalGames","totalSeasons","managerWins","allstarAppearances","proportionalSal","class"
"oroscje01","1252","4","0","0.1695","1252","3.7957692329700174","1179","1253","62","1252","24","0","2","1.14470588","0"
"roepr01","333","28","1","0.1097","333","4.5091666380564375","956","333","90","333","12","0","5","1.00000000","0"
"boutoji01","307","21","0","0.1009","304","3.980909130790017","720","304","112","307","10","0","1","1.00000000","0"
"daviser01","1626","934","282","0.2687","0","0","0","1432","3104","1626","17","0","2","2.13888000","0"
"groteje01","1421","404","39","0.2517","0","0","0","1378","8103","1421","16","0","2","1.00000000","0"
"hislela01","1197","674","166","0.2725","0","0","0","1017","2213","1197","14","0","2","1.00000000","0"
"jorgemi01","1633","426","95","0.2435","0","0","0","1335","6983","1633","17","42","0","0.41990000","0"
"maranra01","2670","884","28","0.2585","0","0","0","2670","6413","2670","23","23","0","1.00000000","1"
"radkebr01","378","0","0","0.1034","378","4.261666655540466","1467","378","213","378","12","0","1","2.19689167","0"
"buhneja01","1472","965","310","0.2539","0","0","0","1398","2537","1472","15","0","1","2.28092143","0"
"castilu01","1720","443","28","0.2902","0","0","0","1683","3287","1720","15","0","3","1.22395333","0"
"chesbja01","393","82","5","0.1967","392","3.1983333925406137","1265","394","103","393","11","0","0","1.00000000","1"
"durhara01","1975","875","192","0.2773","0","0","0","1844","3506","1975","14","0","2","2.01692143","0"
"fordwh01","500","69","3","0.1730","498","2.672500006854534","1956","498","173","500","16","0","10","1.00000000","1"
"jennihu01","1284","840","18","0.3117","0","0","0","1275","5576","1286","18","1184","0","1.00000000","1"
"jordati01","540","232","32","0.2614","0","0","0","518","5134","543","7","0","0","1.00000000","0"
"morrija02","568","0","0","0.0000","549","4.007222215334575","2478","549","387","568","18","0","5","3.25907273","1"
"murcebo01","1908","1043","252","0.2767","0","0","0","1706","3352","1908","17","0","5","1.00000000","0"
"pafkoan01","1852","976","213","0.2854","0","0","0","1783","3388","1852","17","0","5","1.00000000","0"
"parrila02","1988","1070","324","0.2522","0","0","0","1854","9840","1988","19","0","8","1.77478182","0"
"perduhu01","161","10","0","0.1400","161","4.148333350817363","317","161","22","161","5","0","0","1.00000000","0"
"ruthba01","2503","2217","714","0.3421","163","3.6800000190734874","488","2436","4787","2504","22","0","2","1.00000000","1"
"sainjo01","433","101","3","0.2455","412","3.9338461619157057","910","412","127","433","11","0","3","1.00000000","0"
"schaege01","1150","309","9","0.2569","2","27","0","1043","3276","1155","15","0","0","1.00000000","0"
"billija01","476","23","0","0.1109","476","4.517857228006635","1141","476","133","476","13","0","1","1.00000000","0"
"blairpa01","1947","620","134","0.2504","0","0","0","1893","4347","1947","17","0","2","1.00000000","0"
"carltst01","745","140","13","0.2013","741","3.986296274043896","4136","741","109","745","24","0","10","1.26295000","1"
"dobyla01","1533","970","253","0.2833","0","0","0","1448","3640","1533","13","37","7","1.00000000","1"
"freehbi01","1774","758","200","0.2620","0","0","0","1740","11235","1774","15","0","11","1.00000000","0"
"gosligo01","2287","1609","248","0.3160","0","0","0","2190","4805","2287","18","0","1","1.00000000","1"
"ryanno01","807","36","2","0.1103","807","3.694074074427287","5714","807","220","807","27","0","8","3.15418889","1"
"samueju01","1720","703","161","0.2595","0","0","0","1544","3572","1720","16","17","3","1.25062143","0"
"altroni01","230","27","2","0.1764","218","4.428235285422382","425","227","181","229","19","0","0","1.00000000","0"
"benchjo01","2158","1376","389","0.2674","0","0","0","2193","10469","2158","17","0","14","1.00000000","1"
"brettge01","2707","1596","317","0.3048","0","0","0","2200","5503","2707","21","0","13","3.67204444","1"
"greenha01","1394","1276","331","0.3135","0","0","0","1377","11023","1394","13","0","5","1.00000000","1"
"mussimi01","537","5","0","0.1731","537","3.702222228050232","2813","537","231","537","18","0","5","3.79976111","0"
"puckeki01","1783","1085","207","0.3181","0","0","0","1707","4392","1783","12","0","10","3.77876923","1"
"raymobu01","136","14","0","0.1597","136","2.7266666293144226","401","136","37","135","6","0","0","1.00000000","0"
"seleefr99","0","0","0","0.0000","0","0","0","0","0","0","0","1284","0","1.00000000","1"
"burroje01","1689","882","240","0.2607","0","0","0","1287","2177","1689","16","0","2","0.73480000","0"
"caldwmi01","476","8","0","0.1574","475","3.708666721979777","939","475","116","477","14","0","0","1.00000000","0"
"coaklan01","150","6","0","0.1170","150","4.353000020980835","428","150","45","150","9","0","0","1.00000000","0"
"conceda01","2488","950","101","0.2667","1","5.15","1","2499","4245","2488","19","0","9","1.42242500","0"
"critzhu01","1478","531","38","0.2683","0","0","0","1455","3451","1478","12","0","0","1.00000000","0"
"erskica01","360","31","1","0.1565","335","4.321666677792867","981","335","105","360","12","0","1","1.00000000","0"
"johnsal01","1322","525","78","0.2879","0","0","0","1000","1641","1322","13","0","1","1.00000000","0"
"mcmahdo02","874","9","0","0.1369","874","3.080869576205378","1003","874","83","874","18","0","1","1.00000000","0"
"messean01","353","54","5","0.1701","344","3.259166638056437","1625","344","136","353","12","0","4","1.00000000","0"
"pearsmo01","225","62","2","0.2281","224","4.608999991416932","703","224","62","225","10","0","2","1.00000000","0"
"knighra01","1495","595","84","0.2715","0","0","0","1397","3669","1495","13","125","2","1.31515000","0"
"murrare01","1264","579","37","0.2700","0","0","0","1180","1994","1270","11","0","0","1.00000000","0"
"adamsbo03","1281","303","37","0.2692","0","0","0","1066","1748","1281","14","0","0","1.00000000","0"
"berrayo01","2120","1430","358","0.2846","0","0","0","1962","9221","2120","19","484","18","1.00000000","1"
"cissebi01","956","423","29","0.2671","0","0","0","956","2201","956","9","0","0","1.00000000","0"
"cravaga01","1220","719","119","0.2870","0","0","0","1095","1681","1226","11","91","0","1.00000000","0"
"falkecy01","332","47","1","0.1518","330","2.8499999897820607","1164","330","100","332","12","0","0","1.00000000","0"
"fosteed02","1500","451","6","0.2636","0","0","0","1455","1845","1501","13","0","0","1.00000000","0"
"mcgrifr01","2460","1550","493","0.2843","0","0","0","2239","18985","2460","19","0","5","2.98926471","0"
"rosepe01","3562","1314","160","0.3029","0","0","0","3528","12394","3562","24","412","17","1.57530000","0"
"aaronha01","3298","2297","755","0.3050","0","0","0","3020","7436","3298","23","0","24","1.00000000","1"
"castivi02","1854","1105","320","0.2762","0","0","0","1826","1389","1854","16","0","2","1.61761333","0"
"jonesfi01","1788","631","21","0.2846","0","0","0","1772","3584","1788","15","683","0","1.00000000","0"
"olerujo01","2234","1230","255","0.2949","0","0","0","2053","16165","2234","17","0","2","2.97216667","0"
"podrejo01","462","50","2","0.1903","440","4.312499955296516","1435","440","80","462","15","0","4","1.00000000","0"
"rudijo01","1547","810","179","0.2642","0","0","0","1445","4167","1547","16","0","3","1.00000000","0"
"kellech01","1170","760","189","0.2863","0","0","0","1019","2235","1170","13","0","5","1.00000000","0"
"kremera01","309","69","5","0.1776","308","4.3850000381469725","516","308","37","309","10","0","0","1.00000000","0"
"lewisdu01","1459","793","38","0.2837","1","18","1","1434","2657","1459","11","0","0","1.00000000","0"
"millwke01","451","27","4","0.1208","451","4.154375001788139","2083","451","145","451","16","0","1","2.26516429","0"
"perryga01","787","47","6","0.1310","777","3.396000018119812","3534","777","349","787","22","0","5","1.00000000","1"
