playerID,gamesBatted,totalRBI,totalHR,gamesPitched,pitchingERA,opponentBattingAvg,gamesFielded,totalPutOut,totalGames,totalSeasons,managerWins,totalAwards,allstarAppearances,porportionalsal,class
vizcajo01,1820,480,36,0,0,0,1649,2146,1820,18,0,0,0,1.05258750,0
whitero02,1474,768,198,0,0,0,1246,2567,1474,15,0,0,1,1.09903333,1
wilforo01,959,261,39,0,0,0,881,1580,959,11,0,0,0,0.77935000,0
woodabr01,61,3,1,55,28.509999999999998,0.2826000000000001,55,6,61,5,0,0,0,0.13450000,0
tuckemi01,1417,528,125,0,0,0,1172,2146,1417,12,0,0,0,0.62298182,0
wedgeer01,39,12,5,0,0,0,6,25,39,4,759,0,0,0.12280000,0
willied01,395,150,39,0,0,0,287,1289,395,10,0,0,0,0.21222000,0
clarkwi01,350,199,2,0,0,0,340,3349,350,5,0,0,0,1.00000000,0
thornlo01,95,9,1,0,0,0,57,55,95,5,0,0,0,0.20120000,0
treadje01,762,208,28,0,0,0,613,1034,762,9,0,0,0,0.53283750,0
troutst01,301,9,0,301,59.58,0.28561538461538466,301,77,301,12,0,0,0,1.92727500,0
vazqura01,696,176,22,0,0,0,663,701,696,9,0,0,0,0.24124286,0
wohlema01,533,0,0,533,78.41,0.2442307692307692,533,39,533,12,0,0,1,1.25744000,0
robermi01,39,4,0,0,0,0,12,39,39,3,0,0,0,0.12310000,0
russebi01,2181,627,46,0,0,0,2113,3104,2181,18,175,1,3,1.01180000,1
sampsbe01,35,0,0,35,9.67,0.26149999999999995,35,3,35,2,0,0,0,0.13470000,0
seelbch02,7,0,0,7,18.68,0.3865,7,0,7,2,0,0,0,0.08770000,0
smithbo06,258,107,21,0,0,0,256,290,258,5,0,0,0,0.12570000,0
tunnele01,133,7,0,132,27.699999999999996,0.2836666666666667,132,33,133,6,0,0,0,0.20835000,0
whitalo01,2390,1084,244,0,0,0,2308,4771,2390,19,0,10,5,2.37201818,1
roomero01,170,42,9,0,0,0,130,245,170,3,0,0,0,0.18323333,0
